CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
0.1970775;0.248347057;32.85162036;22.13198985;white-romulan;;;;97.03344121;;;94.25566343;83.06364617;100;83.36030205;;;;;;;;98.31288344;;;97.3006135;;96.62576687;97.17791411;;;100;0.724637681;0.362318841;1.811594203;4.710144928;100;
0.244200034;0.450101304;24.63503716;17.64101646;white-russian;;56.71015345;;;;;61.72806502;57.5228573;100;70.76137518;;;;;70.2982071;;;40.73362605;;52.1496524;;;;65.20307355;;;100;;69.74876769;26.36349181;100;1.311814279;69.69311496
0.332343067;0.533614534;26.27218975;21.52014952;white-shark;;56.67583769;;71.29400017;;;85.95691967;;75.57397459;;;;100;;86.41289339;;51.51384058;;50.92640198;;;;;95.4207259;;;100;;15.02157185;100;98.05723835;10.22483413;6.690813791
0.382549057;0.535439947;36.19733038;24.87982704;white-skunk;;94.72295515;;100;;;78.89182058;;79.41952507;;53.56200528;;;;;;;;;96.875;79.296875;;92.96875;95.3125;;;100;;23.72093023;22.79069767;100;3.720930233;0.930232558
0.081542857;0.102782665;24.9057;5.615706731;white-strawberry;;;;;;;100;;;;;;;;50;;;50;;;;;;;;;100;50;;;50;100;50
0.23374043;0.284607403;28.00346086;17.09167284;white-urkle;;;;55.52694136;;;87.06418384;;100;41.16481775;;;70.4437401;;90.25667889;;78.5227868;;;88.26610791;82.89680461;;;;;;100;11.83932347;16.64904863;92.17758985;100;;84.14376321
1.6887216;2.269760666;31.3453744;20.89050843;white-walker-kush;;;;47.28033473;;;80.08368201;;82.42677824;;57.65690377;;100;;73.09711286;;60.49868766;34.77690289;;;;;;64.82939633;;;100;2.769230769;5.538461538;2.769230769;100;;18.46153846
3.850813384;8.088207724;25.85761972;19.54709343;white-widow;;61.76096211;;75.60310178;;;100;;97.78034074;;;;80.66599773;;65.49238009;;43.76530167;;;43.13798526;;;;68.51119253;;;100;19.03962493;14.87245014;42.25407567;100;;22.65344723
0.266666667;0.275378527;19.31834333;7.461117315;whiteout;;75;;100;75;;100;;;;;;75;;100;;;;;;;;;;;;100;;;;100;;
0.330150364;0.432875525;25.21291382;18.45338107;whitewalker-og;;;;56.11411387;;;58.8165969;;100;56.93908237;;;37.65595156;;37.57678269;;;;40.43443426;;49.53262708;;;100;;;42.81135939;;1.332871733;100;64.68755409;0.666435866;5.089146616
1.513468;4.715243151;28.65849105;21.92000397;wild-thailand;;;59.30232558;100;72.09302326;;91.86046512;;;;;;48.8372093;;90;;45;35;;;;;;100;;;100;52.94117647;64.70588235;;100;;
0.24338375;0.697627015;22.64162854;9.607035676;willie-nelson;;94.48144624;89.96194101;90.39010466;92.15033302;;100;;;;;;;;71.73210162;;61.52424942;100;;;;;;78.75288684;;;89.42263279;1.275510204;;16.66666667;22.61904762;100;3.826530612
0.173483333;0.136810793;26.00241476;16.42174512;willy-wonka;;;;100;91.46341463;;34.14634146;84.14634146;95.12195122;;;;;;91.66666667;;41.66666667;;;;;;50;58.33333333;;;100;;40;80;100;80;20
0.609936115;2.781355585;29.6928281;22.90566841;willys-wonder;;;;49.44761905;;;66.62857143;;100;58.8952381;;42.17142857;;;50.59616382;;;;;71.79885951;;;67.08138932;79.78227061;;;100;18.63433312;43.07594129;21.44224633;100;;20.42118698
0.277716667;0.336212219;26.98290833;2.541523402;wonder-kid;;;;100;;;83.33333333;;83.33333333;;;66.66666667;66.66666667;;66.66666667;;;100;;;66.66666667;83.33333333;;;;;66.66666667;;;;;;100
0.221953006;0.244140421;22.74719637;15.57347169;wonder-woman;;;76.94326009;85.208265;;;87.30731387;;64.87372909;;;;100;;92.5647452;;74.51963241;;;85.46365915;;;;76.52464495;;;100;77.4863388;5.792349727;11.47540984;100;;5.355191257
0.529586667;1.104355994;32.24231333;20.64089385;woody-kush;;;;25.40846949;;;29.40980327;;50.31677226;100;73.09103034;;;;55.38922156;;;100;;61.67664671;66.52694611;;;;;;11.22754491;;42.96001987;43.70499131;100;41.8425627;2.234914328
